status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
660933270687803_1628407333940387,,In The Know Presents,video,https://www.facebook.com/InTheKnowPresentsAOL/videos/1820312991604533/,2018-04-21 18:11:09,626,39,264,455,110,61,0,0,0
660933270687803_1628300280617759,"It is with great sadness that we have to report this. Rest In Peace Verne
#the_kiwi_jedi",Verne J Troyer,photo,https://www.facebook.com/vernetroyer/photos/a.10151829657701647.1073741825.79013326646/10155578629051647/?type=3,2018-04-21 15:12:18,395,15,171,78,7,28,2,280,0
660933270687803_1627704504010670,#the_kiwi_jedi,Star Wars - The Hobby,photo,https://www.facebook.com/starwarsthehobby/photos/a.889696031055572.1073741832.867094103315765/2123832597641903/?type=3,2018-04-21 01:35:31,34,1,3,24,0,0,10,0,0
660933270687803_1627610080686779,The force feed,,photo,https://www.facebook.com/660933270687803/photos/a.660933627354434.1073741826.660933270687803/1627610067353447/?type=3,2018-04-20 22:47:46,32,1,3,19,2,0,10,0,1
660933270687803_1627480114033109,Wait what,,photo,https://www.facebook.com/660933270687803/photos/a.660933627354434.1073741826.660933270687803/1627480104033110/?type=3,2018-04-20 19:01:18,54,16,2,17,1,1,31,3,1
660933270687803_1627372514043869,#the_kiwi_jedi,,photo,https://www.facebook.com/660933270687803/photos/a.660933627354434.1073741826.660933270687803/1627372490710538/?type=3,2018-04-20 15:46:24,70,0,8,63,6,0,1,0,0
660933270687803_1626905790757208,#the_kiwi_jedi,,photo,https://www.facebook.com/660933270687803/photos/a.660933627354434.1073741826.660933270687803/1626905770757210/?type=3,2018-04-20 04:52:45,61,1,3,53,5,2,1,0,0
660933270687803_1625965497517904,"Current sale happening on our merchandise. For those who are interested 
#the_kiwi_jedi
https://www.teepublic.com/t-shirt/2477459-lukes-stand-off",Luke's Stand Off by thekiwijedi,link,https://www.teepublic.com/t-shirt/2477459-lukes-stand-off,2018-04-19 05:38:13,11,0,0,8,3,0,0,0,0
660933270687803_1625066700941117,#the_kiwi_jedi,,photo,https://www.facebook.com/660933270687803/photos/a.660933627354434.1073741826.660933270687803/1625066654274455/?type=3,2018-04-18 06:20:52,76,5,26,35,1,0,40,0,0
660933270687803_1624719930975794,,Just Movie Things,video,https://www.facebook.com/JustMovieThings/videos/481439118906708/,2018-04-17 20:08:40,7,1,4,4,1,0,2,0,0
660933270687803_1624124064368714,#the_kiwi_jedi,Just Movie Things,video,https://www.facebook.com/JustMovieThings/videos/481439118906708/,2018-04-17 06:30:22,15,1,8,4,0,0,11,0,0
660933270687803_1622539237860530,,,photo,https://www.facebook.com/660933270687803/photos/a.660933627354434.1073741826.660933270687803/1622539221193865/?type=3,2018-04-15 12:37:36,156,25,32,94,13,0,45,0,4
660933270687803_1620073718107082,,Star Wars Jedi Fans Unleashed,video,https://www.facebook.com/StarWarsJediFansUnleashed/videos/1674926155927074/,2018-04-12 23:25:24,73,3,16,61,12,0,0,0,0
660933270687803_1618390514942069,"Soon
#the_kiwi_jedi",,photo,https://www.facebook.com/660933270687803/photos/a.660933627354434.1073741826.660933270687803/1618390494942071/?type=3,2018-04-11 06:23:33,18,0,3,14,4,0,0,0,0
660933270687803_1618004411647346,#the_kiwi_jedi,501st Legion Knightfall Garrison,video,https://www.facebook.com/501stKnightfallGarrison/videos/2029116237162053/,2018-04-10 19:09:52,322,19,119,250,44,18,10,0,0
660933270687803_1616058515175269,"Very Nice
#the_kiwi_jedi",Star Wars - The Hobby,photo,https://www.facebook.com/starwarsthehobby/photos/a.889696031055572.1073741832.867094103315765/2107583082600188/?type=3,2018-04-08 20:13:06,72,0,5,59,12,1,0,0,0
660933270687803_1616048028509651,"Sound off in the comments
#the_kiwi_jedi",Star Wars,video,https://www.facebook.com/StarWars/videos/1855235134528079/,2018-04-08 19:52:05,105,14,63,77,20,7,0,0,1
