,0,1,2,3,4,5,6,7,8
0,Star Wars: The Force Awakens,(2015),PG-13,136 min,"
Action, Adventure, Fantasy            ","737,535",$936.66M,8.0,81        
1,Jurassic World,(2015),PG-13,124 min,"
Action, Adventure, Sci-Fi            ","489,491",$652.27M,7.0,59        
2,The Avengers,(2012),PG-13,143 min,"
Action, Adventure, Sci-Fi            ","1,100,592",$623.36M,8.1,69        
3,Star Wars: Episode VIII - The Last Jedi,(2017),PG-13,152 min,"
Action, Adventure, Fantasy            ","371,631",$620.18M,7.3,85        
4,Rogue One,(2016),PG-13,133 min,"
Action, Adventure, Sci-Fi            ","421,323",$532.18M,7.8,65        
5,Beauty and the Beast,(2017),PG,129 min,"
Family, Fantasy, Musical            ","205,857",$504.01M,7.2,65        
6,Finding Dory,(2016),PG,97 min,"
Animation, Adventure, Comedy            ","190,014",$486.30M,7.3,77        
7,Avengers: Age of Ultron,(2015),PG-13,141 min,"
Action, Adventure, Sci-Fi            ","576,911",$459.01M,7.4,66        
8,The Dark Knight Rises,(2012),PG-13,164 min,"
Action, Thriller            ","1,303,042",$448.14M,8.4,78        
9,The Hunger Games: Catching Fire,(2013),PG-13,146 min,"
Action, Adventure, Mystery            ","550,809",$424.67M,7.5,76        
10,Toy Story 3,(2010),G,103 min,"
Animation, Adventure, Comedy            ","633,529",$415.00M,8.3,92        
11,Wonder Woman,(2017),PG-13,141 min,"
Action, Adventure, Fantasy            ","405,967",$412.56M,7.5,76        
12,Iron Man Three,(2013),PG-13,130 min,"
Action, Adventure, Sci-Fi            ","631,830",$409.01M,7.2,62        
13,Captain America: Civil War,(2016),PG-13,147 min,"
Action, Adventure, Sci-Fi            ","492,424",$408.08M,7.8,75        
14,The Hunger Games,(2012),PG-13,142 min,"
Adventure, Sci-Fi, Thriller            ","766,039",$408.01M,7.2,68        
15,Jumanji: Welcome to the Jungle,(2017),PG-13,119 min,"
Action, Adventure, Comedy            ","152,897",$404.26M,7.0,58        
16,Frozen,(I) (2013),PG,102 min,"
Animation, Adventure, Comedy            ","482,759",$400.74M,7.5,74        
17,Guardians of the Galaxy Vol. 2,(2017),PG-13,136 min,"
Action, Adventure, Sci-Fi            ","370,023",$389.81M,7.7,67        
18,Harry Potter and the Deathly Hallows: Part 2,(2011),PG-13,130 min,"
Adventure, Drama, Fantasy            ","641,166",$381.01M,8.1,87        
19,The Secret Life of Pets,(2016),PG,87 min,"
Animation, Adventure, Comedy            ","144,506",$368.38M,6.5,61        
20,Despicable Me 2,(2013),PG,98 min,"
Animation, Adventure, Comedy            ","324,412",$368.06M,7.4,62        
21,The Jungle Book,(2016),PG,106 min,"
Adventure, Drama, Family            ","224,074",$364.00M,7.5,77        
22,Deadpool,(2016),R,108 min,"
Action, Adventure, Comedy            ","719,897",$363.07M,8.0,65        
23,Inside Out,(I) (2015),PG,95 min,"
Animation, Adventure, Comedy            ","478,727",$356.46M,8.2,94        
24,Furious 7,(2015),PG-13,137 min,"
Action, Crime, Thriller            ","319,530",$353.01M,7.2,67        
25,Transformers: Dark of the Moon,(2011),PG-13,154 min,"
Action, Adventure, Sci-Fi            ","352,687",$352.39M,6.3,42        
26,American Sniper,(2014),R,133 min,"
Action, Biography, Drama            ","377,346",$350.13M,7.3,72        
27,Zootopia,(2016),PG,108 min,"
Animation, Adventure, Comedy            ","343,125",$341.27M,8.0,78        
28,The Hunger Games: Mockingjay - Part 1,(2014),PG-13,123 min,"
Action, Adventure, Sci-Fi            ","355,813",$337.14M,6.7,64        
29,Minions,(2015),PG,91 min,"
Animation, Action, Adventure            ","177,926",$336.05M,6.4,56        
30,Spider-Man: Homecoming,(2017),PG-13,133 min,"
Action, Adventure, Sci-Fi            ","313,681",$334.20M,7.5,73        
31,Alice in Wonderland,(I) (2010),PG,108 min,"
Adventure, Family, Fantasy            ","340,662",$334.19M,6.5,53        
32,Guardians of the Galaxy,(2014),PG-13,121 min,"
Action, Adventure, Sci-Fi            ","835,288",$333.18M,8.1,76        
33,Batman v Superman: Dawn of Justice,(2016),PG-13,151 min,"
Action, Adventure, Fantasy            ","530,732",$330.36M,6.6,44        
34,It,(I) (2017),R,135 min,"
Drama, Horror, Thriller            ","269,851",$327.48M,7.5,69        
35,Suicide Squad,(2016),PG-13,123 min,"
Action, Adventure, Fantasy            ","475,531",$325.10M,6.1,40        
36,Thor: Ragnarok,(2017),PG-13,130 min,"
Action, Adventure, Comedy            ","313,812",$315.06M,7.9,74        
37,Iron Man 2,(2010),PG-13,124 min,"
Action, Adventure, Sci-Fi            ","597,287",$312.43M,7.0,57        
38,Skyfall,(2012),PG-13,143 min,"
Action, Adventure, Thriller            ","568,942",$304.36M,7.8,81        
39,The Hobbit: An Unexpected Journey,(2012),PG-13,169 min,"
Adventure, Family, Fantasy            ","694,435",$303.00M,7.9,58        
40,The Twilight Saga: Eclipse,(2010),PG-13,124 min,"
Adventure, Drama, Fantasy            ","200,881",$300.53M,5.0,58        
41,Harry Potter and the Deathly Hallows: Part 1,(2010),PG-13,146 min,"
Adventure, Family, Fantasy            ","387,687",$295.98M,7.7,65        
42,Inception,(2010),PG-13,148 min,"
Action, Adventure, Sci-Fi            ","1,704,490",$292.58M,8.8,74        
43,The Twilight Saga: Breaking Dawn - Part 2,(2012),PG-13,115 min,"
Adventure, Drama, Fantasy            ","203,018",$292.30M,5.5,52        
44,Man of Steel,(2013),PG-13,143 min,"
Action, Adventure, Fantasy            ","612,282",$291.05M,7.1,55        
45,The Hunger Games: Mockingjay - Part 2,(2015),PG-13,137 min,"
Action, Adventure, Sci-Fi            ","228,290",$281.72M,6.5,65        
46,The Twilight Saga: Breaking Dawn - Part 1,(2011),PG-13,117 min,"
Adventure, Drama, Fantasy            ","197,977",$281.29M,4.9,45        
47,Gravity,(2013),PG-13,91 min,"
Drama, Sci-Fi, Thriller            ","663,463",$274.09M,7.8,96        
48,Sing,(2016),PG,108 min,"
Animation, Comedy, Family            ","97,299",$270.33M,7.1,59        
49,Monsters University,(2013),G,104 min,"
Animation, Adventure, Comedy            ","270,416",$268.49M,7.3,65        
50,Despicable Me 3,(2017),PG,89 min,"
Animation, Action, Adventure            ","72,139",$264.62M,6.3,49        
51,The Amazing Spider-Man,(2012),PG-13,136 min,"
Action, Adventure, Sci-Fi            ","498,525",$262.03M,7.0,66        
52,Captain America: The Winter Soldier,(2014),PG-13,136 min,"
Action, Adventure, Sci-Fi            ","593,459",$259.77M,7.8,70        
53,The Hobbit: The Desolation of Smaug,(2013),PG-13,161 min,"
Adventure, Fantasy            ","539,559",$258.37M,7.9,66        
54,The Lego Movie,(2014),PG,100 min,"
Animation, Action, Adventure            ","284,157",$257.76M,7.8,83        
55,The Hobbit: The Battle of the Five Armies,(2014),PG-13,144 min,"
Adventure, Fantasy            ","412,058",$255.12M,7.4,59        
56,The Hangover Part II,(2011),R,102 min,"
Comedy, Mystery            ","412,486",$254.46M,6.5,44        
57,Despicable Me,(2010),PG,95 min,"
Animation, Adventure, Comedy            ","436,146",$251.51M,7.7,72        
58,Moana,(I) (2016),PG,107 min,"
Animation, Adventure, Comedy            ","188,365",$248.76M,7.6,81        
59,Transformers: Age of Extinction,(2014),PG-13,165 min,"
Action, Adventure, Sci-Fi            ","270,775",$245.44M,5.7,32        
60,Maleficent,(2014),PG,97 min,"
Action, Adventure, Family            ","285,953",$241.41M,7.0,56        
61,Pirates of the Caribbean: On Stranger Tides,(2011),PG-13,136 min,"
Action, Adventure, Fantasy            ","422,994",$241.07M,6.6,45        
62,Furious 6,(2013),PG-13,130 min,"
Action, Crime, Thriller            ","332,831",$238.68M,7.1,61        
63,Shrek Forever After,(2010),PG,93 min,"
Animation, Adventure, Comedy            ","155,784",$238.37M,6.3,58        
64,Brave,(2012),PG,93 min,"
Animation, Adventure, Comedy            ","313,938",$237.28M,7.1,69        
65,Oz the Great and Powerful,(2013),PG,130 min,"
Adventure, Comedy, Drama            ","186,939",$234.91M,6.3,44        
66,Fantastic Beasts and Where to Find Them,(2016),PG-13,133 min,"
Adventure, Family, Fantasy            ","302,018",$234.04M,7.4,66        
67,X-Men: Days of Future Past,(2014),PG-13,132 min,"
Action, Adventure, Sci-Fi            ","583,830",$233.92M,8.0,75        
68,Doctor Strange,(2016),PG-13,115 min,"
Action, Adventure, Fantasy            ","409,496",$232.64M,7.5,72        
69,Justice League,(2017),PG-13,120 min,"
Action, Adventure, Fantasy            ","244,616",$229.02M,6.7,45        
70,Star Trek: Into Darkness,(2013),PG-13,132 min,"
Action, Adventure, Sci-Fi            ","432,608",$228.78M,7.8,72        
71,The Martian,(2015),PG-13,144 min,"
Adventure, Drama, Sci-Fi            ","616,282",$228.43M,8.0,80        
72,Logan,(2017),R,137 min,"
Action, Drama, Sci-Fi            ","475,741",$226.28M,8.1,77        
73,The Fate of the Furious,(2017),PG-13,136 min,"
Action, Crime, Thriller            ","159,541",$226.01M,6.7,56        
74,Big Hero 6,(2014),PG,102 min,"
Animation, Action, Adventure            ","336,447",$222.53M,7.8,74        
75,Ted,(2012),R,106 min,"
Comedy, Fantasy            ","515,789",$218.82M,7.0,62        
76,How to Train Your Dragon,(2010),PG,98 min,"
Animation, Action, Adventure            ","564,567",$217.58M,8.1,74        
77,Madagascar 3: Europe's Most Wanted,(2012),PG,93 min,"
Animation, Adventure, Comedy            ","135,411",$216.39M,6.9,60        
78,The Lorax,(2012),PG,86 min,"
Animation, Adventure, Comedy            ","85,628",$214.03M,6.4,46        
79,Fast Five,(2011),PG-13,130 min,"
Action, Crime, Thriller            ","315,001",$209.84M,7.3,66        
80,Coco,(I) (2017),PG,105 min,"
Animation, Adventure, Comedy            ","165,782",$209.73M,8.5,81        
81,Mission: Impossible - Ghost Protocol,(2011),PG-13,132 min,"
Action, Adventure, Thriller            ","398,037",$209.40M,7.4,73        
82,Dawn of the Planet of the Apes,(2014),PG-13,130 min,"
Action, Adventure, Drama            ","370,976",$208.55M,7.6,79        
83,Thor: The Dark World,(2013),PG-13,112 min,"
Action, Adventure, Sci-Fi            ","484,681",$206.36M,7.0,54        
84,The Amazing Spider-Man 2,(2014),PG-13,142 min,"
Action, Adventure, Sci-Fi            ","364,400",$202.85M,6.7,53        
85,World War Z,(2013),PG-13,116 min,"
Action, Adventure, Horror            ","523,869",$202.36M,7.0,63        
86,Cinderella,(I) (2015),PG,105 min,"
Drama, Family, Fantasy            ","129,162",$201.15M,6.9,67        
87,Tangled,(2010),PG,100 min,"
Animation, Adventure, Comedy            ","338,821",$200.82M,7.8,71        
88,Godzilla,(2014),PG-13,123 min,"
Action, Adventure, Sci-Fi            ","331,333",$200.68M,6.4,62        
89,Spectre,(I) (2015),PG-13,148 min,"
Action, Adventure, Thriller            ","331,853",$200.07M,6.8,60        
90,Mission: Impossible - Rogue Nation,(2015),PG-13,131 min,"
Action, Adventure, Thriller            ","276,389",$195.04M,7.4,75        
91,22 Jump Street,(2014),R,112 min,"
Action, Comedy, Crime            ","300,230",$191.72M,7.0,71        
