status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
91290503700_10156362236968701,Happy Birthday to the wonderful Sir Michael Caine!,,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10156362236738701/?type=3,2018-03-14 16:58:14,4416,79,87,4065,332,14,5,0,0
91290503700_10156315073433701,"""When we're asleep, we can do almost anything"" 
Flashback Friday to the 2011 Oscars when Inception won 4 Oscars! #Oscars90",,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10156315073258701/?type=3,2018-03-02 13:00:00,7113,235,221,6232,812,28,40,1,0
91290503700_10156205574278701,Congratulations to Christopher Nolan and the rest of the #Dunkirk team.,Dunkirk,photo,https://www.facebook.com/Dunkirkmovie/photos/a.1174612609300636.1073741828.955813611180538/1545444145550812/?type=3,2018-01-23 17:11:56,2248,132,27,2012,200,25,11,0,0
91290503700_10156102374138701,Christopher Nolan's films are now available in 4K Ultra HD! #Nolan4K,,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10156102373833701/?type=3,2017-12-22 12:00:00,2888,89,34,2556,288,43,1,0,0
91290503700_10156105044843701,"Your Nolan favorites have arrived in 4K Ultra HD! Own #Inception, #DarkKnightTrilogy, #Interstellar, and #ThePrestige Now! #Nolan4K www.nolan4kcollection.com",Nolan 4K Collection,video,https://www.facebook.com/inception/videos/10156105044843701/,2017-12-19 12:18:11,1223,56,53,1023,167,32,1,0,0
91290503700_10156102349848701,Your reality is about to turn upside down. #Inception hits 4K Ultra HD tomorrow! #Nolan4K,,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10156102349503701/?type=3,2017-12-18 14:57:46,4513,110,82,3967,422,117,7,0,0
91290503700_10156090174713701,Witness one of the greatest heists in lifelike color. Own #Inception in 4K Ultra HD on Tuesday! #Nolan4K,,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10156090171078701/?type=3,2017-12-14 12:36:19,2876,91,51,2575,250,49,2,0,0
91290503700_10156084662418701,Immerse yourself in the world of the dream - 4x sharper than Full HD - with #Inception in 4K Ultra HD in 1 Week! #Nolan4K,Nolan 4K,video,https://www.facebook.com/inception/videos/10156084662418701/,2017-12-12 12:21:50,1005,41,43,859,111,34,1,0,0
91290503700_10156069508748701,"""Dreams feel real while we are in them, it's only when we wake up that we realize something was strange."" #Inception",,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10156069508633701/?type=3,2017-12-07 12:29:19,13210,312,932,11861,1223,106,12,8,0
91290503700_10156069507823701,,Inception's cover photo,photo,https://www.facebook.com/inception/photos/a.10150651242478701.414750.91290503700/10156069507578701/?type=3,2017-12-07 12:28:53,1553,39,27,1351,159,41,2,0,0
91290503700_10156063356168701,"Whether it's a dream or reality, catch every detail of #Inception in 4K Ultra HD on 12/19! #Nolan4K",,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10156063355618701/?type=3,2017-12-05 12:37:47,3024,101,74,2615,326,78,4,0,1
91290503700_10156011869638701,"Your Nolan favorites are coming to 4K Ultra HD! Own #Inception, #DarkKnightTrilogy, #Interstellar, #ThePrestige, and #Dunkirk on 12/19! #Nolan4K",,video,https://www.facebook.com/inception/videos/10156011869638701/,2017-11-18 10:23:18,1887,283,138,1482,297,104,3,1,0
91290503700_10155153306878701,Happy birthday Ellen Page!,Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10155153306878701/?type=3,2017-02-21 13:30:38,10766,183,155,9775,946,35,6,1,2
